MERGE_ID,ZIPCODE,TOTAL_POP
1,00601,18570
2,00602,41520
3,00603,60944
34,00606,66607
5,00610,29016
6,00612,71725
7,00616,11017
8,00617,24597
10,00622,50914
10,00623,50914
11,00624,26241
12,00627,35159
34,00631,66607
14,00637,25287
15,00638,18941
16,00641,31191
17,00646,38199
27,00647,32140
19,00650,14998
6,00652,71725
21,00653,13307
22,00656,21481
23,00659,41953
24,00660,17250
25,00662,43282
26,00664,16784
27,00667,32140
28,00669,29744
29,00670,9807
30,00674,44457
31,00676,40316
32,00677,15272
33,00678,27819
34,00680,66607
35,00682,32615
36,00683,33772
37,00685,42831
38,00687,32610
39,00688,13543
3,00690,60944
41,00692,37511
42,00693,61366
42,00694,61366
44,00698,41782
45,00703,28605
86,00704,53214
47,00705,25598
48,00707,12225
49,00714,19566
90,00715,52392
51,00716,33779
52,00717,18457
53,00718,26606
54,00719,30990
55,00720,23129
56,00723,19277
57,00725,89374
58,00727,58382
59,00728,44908
60,00729,53750
61,00730,35742
62,00731,15524
63,00735,13730
64,00736,51532
65,00738,36993
66,00739,40035
65,00740,36993
88,00741,58388
69,00745,55062
70,00751,23129
71,00754,40828
72,00757,23263
73,00765,9098
74,00766,26488
75,00767,38019
76,00769,40248
77,00771,38394
78,00772,23105
79,00773,20068
80,00775,1786
81,00777,40684
82,00778,45429
83,00780,13800
84,00782,19304
85,00783,36557
86,00784,53214
66,00786,40035
88,00791,58388
89,00794,30585
90,00795,52392
93,00901,24542
93,00906,24542
93,00907,24542
98,00909,63786
98,00911,63786
98,00912,63786
98,00913,63786
98,00915,63786
99,00917,21053
100,00918,18056
101,00920,21371
102,00921,38444
103,00923,29086
104,00924,56691
106,00925,117558
106,00926,117558
107,00927,14936
122,00934,16964
102,00936,38444
110,00949,82322
110,00950,82322
110,00951,82322
113,00952,10008
114,00953,73014
115,00956,79304
116,00957,45680
117,00959,50560
119,00960,34208
119,00961,34208
120,00962,31625
120,00965,31625
122,00966,16964
101,00968,21371
124,00969,42219
125,00971,30986
126,00976,65136
127,00979,17030
128,00982,16428
129,00983,39234
130,00985,36553
131,00987,63661
132,01001,16769
133,01002,35346
134,01003,10372
241,01005,38173
136,01007,57723
172,01008,13375
136,01009,57723
164,01010,12143
172,01011,13375
146,01012,27338
142,01013,23188
143,01020,47044
143,01022,47044
146,01026,27338
146,01027,27338
147,01028,30479
172,01029,13375
149,01030,11669
181,01031,11630
146,01032,27338
143,01033,47044
172,01034,13375
159,01035,75466
147,01036,30479
241,01037,38173
159,01038,75466
166,01039,12486
159,01040,75466
172,01050,13375
146,01053,27338
133,01054,35346
163,01056,21103
164,01057,12143
165,01060,15714
166,01062,12486
165,01063,15714
159,01066,75466
241,01068,38173
136,01069,57723
146,01070,27338
172,01071,13375
133,01072,35346
159,01073,75466
241,01074,38173
176,01075,17527
177,01077,9502
136,01079,57723
136,01080,57723
1719,01081,21806
181,01082,11630
136,01083,57723
146,01084,27338
184,01085,41915
184,01086,41915
159,01088,75466
187,01089,28391
136,01092,57723
159,01093,75466
241,01094,38173
191,01095,14319
146,01096,27338
184,01097,41915
146,01098,27338
201,01103,32729
196,01104,22865
197,01105,12350
198,01106,16021
199,01107,11611
200,01108,26688
201,01109,32729
202,01118,14071
203,01119,14152
147,01128,30479
147,01129,30479
143,01151,47044
207,01201,102243
225,01220,48898
232,01222,100765
172,01223,13375
225,01224,48898
225,01225,48898
207,01226,102243
232,01229,100765
232,01230,100765
207,01235,102243
232,01236,100765
225,01237,48898
232,01238,100765
207,01240,102243
207,01242,102243
207,01243,102243
232,01244,100765
232,01245,100765
225,01247,48898
232,01253,100765
207,01254,102243
232,01255,100765
225,01256,48898
232,01257,100765
232,01258,100765
232,01259,100765
232,01260,100765
232,01262,100765
232,01264,100765
207,01266,102243
225,01267,48898
207,01270,102243
239,01301,25707
146,01330,27338
241,01331,38173
239,01337,25707
146,01338,27338
225,01339,48898
239,01340,25707
159,01341,75466
159,01342,75466
225,01343,48898
257,01344,16800
225,01346,48898
257,01347,16800
257,01349,16800
225,01350,48898
257,01351,16800
239,01354,25707
133,01355,35346
257,01360,16800
257,01364,16800
133,01366,35346
225,01367,48898
241,01368,38173
159,01370,75466
159,01373,75466
159,01375,75466
159,01376,75466
257,01378,16800
133,01379,35346
268,01420,110175
268,01430,110175
268,01431,110175
276,01432,87778
276,01434,87778
241,01436,38173
275,01438,20906
275,01440,20906
276,01450,87778
276,01451,87778
241,01452,38173
279,01453,40883
276,01460,87778
281,01462,10086
282,01463,11497
276,01464,87778
276,01467,87778
241,01468,38173
276,01469,87778
268,01473,110175
268,01474,110175
289,01475,10270
290,01501,18323
362,01503,55090
724,01504,56802
362,01505,55090
136,01506,57723
295,01507,12981
296,01510,13606
136,01515,57723
328,01516,67615
136,01518,57723
307,01519,24368
301,01520,17307
136,01521,57723
301,01522,17307
276,01523,87778
335,01524,33959
327,01525,19490
307,01527,24368
724,01529,56802
241,01531,38173
310,01532,14155
327,01534,19490
136,01535,57723
319,01536,61417
290,01537,18323
315,01540,11291
268,01541,110175
335,01542,33959
268,01543,110175
319,01545,61417
320,01550,16719
307,01560,24368
276,01561,87778
323,01562,11688
268,01564,110175
136,01566,57723
319,01568,61417
327,01569,19490
328,01570,67615
329,01571,11390
330,01581,18272
268,01583,110175
136,01585,57723
333,01588,9733
328,01590,67615
335,01602,33959
336,01603,19916
337,01604,46916
338,01605,26221
339,01606,19077
337,01607,46916
337,01608,46916
342,01609,22421
343,01610,23945
335,01611,33959
268,01612,110175
346,01701,31217
347,01702,55202
350,01718,21830
276,01719,87778
350,01720,21830
351,01721,16593
352,01730,13221
543,01731,23850
276,01740,87778
376,01741,35162
356,01742,17726
347,01745,55202
358,01746,13547
319,01747,61417
360,01748,14925
361,01749,19063
362,01752,55090
363,01754,10106
319,01756,61417
365,01757,28061
366,01760,32786
347,01770,55202
362,01772,55090
543,01773,23850
276,01775,87778
371,01776,17659
372,01778,13109
373,01801,38903
374,01803,24487
375,01810,33201
376,01821,35162
377,01824,24911
378,01826,29422
276,01827,87778
380,01830,54691
381,01832,22060
414,01833,16144
380,01834,54691
384,01835,13682
386,01840,51958
386,01841,51958
387,01843,24425
388,01844,47249
389,01845,28352
390,01850,15237
391,01851,39081
392,01852,33508
393,01854,27606
380,01860,54691
395,01862,10227
391,01863,39081
397,01864,14892
398,01867,23956
399,01876,28667
400,01879,11305
401,01880,24733
402,01886,21951
403,01887,22325
404,01890,21382
406,01901,50238
406,01902,50238
407,01904,18203
408,01905,25251
409,01906,26660
410,01907,14027
406,01908,50238
412,01913,16283
413,01915,52402
414,01921,16144
380,01922,54691
416,01923,26493
418,01929,39245
418,01930,39245
416,01937,26493
420,01938,13175
421,01940,12108
413,01944,52402
423,01945,19808
428,01949,70895
425,01950,25699
380,01951,54691
425,01952,25699
428,01960,70895
418,01966,39245
380,01969,54691
431,01970,41109
413,01982,52402
428,01983,70895
428,01984,70895
380,01985,54691
436,02019,16332
437,02021,21561
444,02025,29699
439,02026,24711
347,02030,55202
454,02032,32828
442,02035,16865
443,02038,31635
444,02043,29699
445,02045,10293
448,02047,25609
447,02048,23184
448,02050,25609
449,02052,12024
450,02053,12752
347,02054,55202
452,02056,10981
453,02061,10506
454,02062,32828
455,02066,17656
456,02067,17486
459,02071,20179
458,02072,26999
459,02081,20179
460,02090,14636
461,02093,10955
469,02108,43249
469,02109,43249
469,02110,43249
478,02111,39182
469,02113,43249
467,02114,11999
468,02115,28441
469,02116,43249
470,02118,26498
471,02119,25346
472,02120,15181
473,02121,25978
474,02122,23479
475,02124,47783
476,02125,33295
477,02126,25562
478,02127,39182
479,02128,40508
480,02129,16439
481,02130,35401
482,02131,29826
483,02132,25861
484,02134,21503
485,02135,45362
486,02136,28488
487,02138,36314
488,02139,36349
489,02140,17607
490,02141,11910
469,02142,43249
492,02143,24514
493,02144,23891
494,02145,25439
495,02148,59503
496,02149,41550
497,02150,35124
498,02151,51808
499,02152,17497
500,02155,57964
485,02163,45362
502,02169,63512
503,02170,19505
504,02171,17711
505,02176,26983
506,02180,21437
507,02184,35744
508,02186,27003
509,02188,14608
510,02189,14559
511,02190,16119
502,02191,63512
469,02199,43249
469,02210,43249
515,02215,26125
516,02301,81485
517,02302,32741
516,02322,81485
519,02324,36901
520,02330,11509
521,02332,15059
522,02333,13794
519,02338,36901
524,02339,13879
525,02341,10218
526,02343,10745
527,02346,37812
528,02347,10612
529,02351,16029
530,02356,13924
530,02357,13924
532,02359,17828
533,02360,65204
534,02364,12629
533,02366,65204
519,02367,36901
537,02368,32158
538,02370,17489
516,02375,81485
516,02379,81485
541,02382,14489
542,02420,14052
543,02421,23850
544,02445,20679
545,02446,29311
546,02451,17426
547,02452,14238
548,02453,42337
566,02457,40330
550,02458,12131
551,02459,19095
560,02460,40756
566,02461,40330
564,02462,17798
566,02464,40330
556,02465,11710
548,02466,42337
558,02467,22491
548,02468,42337
560,02472,40756
561,02474,26312
562,02476,16532
563,02478,24664
564,02481,17798
565,02482,10306
566,02492,40330
567,02493,11261
566,02494,40330
569,02532,12916
572,02534,41457
589,02535,16460
572,02536,41457
587,02537,16652
533,02538,65204
589,02539,16460
572,02540,41457
572,02542,41457
572,02543,41457
569,02553,12916
580,02554,10172
572,02556,41457
589,02557,16460
533,02558,65204
572,02559,41457
572,02561,41457
533,02562,65204
587,02563,16652
580,02564,10172
589,02568,16460
590,02571,10481
589,02575,16460
527,02576,37812
580,02584,10172
594,02601,16501
594,02630,16501
596,02631,9679
597,02632,10742
607,02633,46703
611,02635,31399
594,02637,16501
630,02638,10316
607,02639,46703
630,02641,10316
615,02642,13643
615,02643,13643
572,02644,41457
607,02645,46703
607,02646,46703
594,02647,16501
611,02648,31399
611,02649,31399
607,02650,46703
615,02651,13643
622,02652,9890
615,02653,13643
611,02655,31399
622,02657,9890
607,02659,46703
607,02660,46703
615,02663,13643
607,02664,46703
622,02666,9890
615,02667,13643
611,02668,31399
607,02669,46703
607,02670,46703
607,02671,46703
594,02672,16501
607,02673,46703
630,02675,10316
638,02702,46881
632,02703,45566
572,02713,41457
664,02715,69213
638,02717,46881
664,02718,69213
637,02719,15873
638,02720,46881
639,02721,26290
640,02723,14767
641,02724,16908
638,02725,46881
643,02726,15534
527,02738,37812
527,02739,37812
646,02740,43087
647,02743,10307
648,02744,11900
649,02745,24576
650,02746,15342
651,02747,22927
652,02748,11442
653,02760,26739
704,02762,42446
632,02763,45566
664,02764,69213
657,02766,19031
658,02767,13566
659,02769,11608
638,02770,46881
661,02771,13708
662,02777,15840
664,02779,69213
664,02780,69213
665,02790,19455
665,02791,19455
704,02802,42446
720,02804,26206
669,02806,16310
670,02807,1051
720,02808,26206
672,02809,22938
721,02812,14759
721,02813,14759
740,02814,32811
681,02815,14067
677,02816,102739
677,02817,102739
679,02818,18082
677,02822,102739
681,02825,14067
328,02826,67615
677,02827,102739
741,02828,36494
328,02830,67615
677,02831,102739
677,02832,102739
677,02833,102739
689,02835,5405
721,02836,14759
665,02837,19455
724,02838,56802
328,02839,67615
694,02840,24727
694,02841,24727
696,02842,16095
697,02852,22551
681,02857,14067
328,02858,67615
328,02859,67615
701,02860,53338
702,02861,26178
703,02863,19385
704,02864,42446
705,02865,16951
706,02871,17171
707,02872,218
677,02873,102739
677,02874,102739
721,02875,14759
725,02876,11967
712,02878,15780
713,02879,20371
677,02881,102739
715,02882,14184
716,02885,10627
717,02886,29269
718,02888,19912
719,02889,28217
720,02891,26206
721,02892,14759
722,02893,29630
677,02894,102739
724,02895,56802
725,02896,11967
677,02898,102739
727,02903,10780
728,02904,29359
729,02905,25223
730,02906,29757
731,02907,27445
732,02908,37467
733,02909,43540
734,02910,21000
735,02911,15574
730,02912,29757
737,02914,21963
738,02915,16897
701,02916,53338
740,02917,32811
741,02919,36494
742,02920,37547
743,02921,12361
744,03031,11247
750,03032,137349
276,03033,87778
750,03034,137349
750,03036,137349
750,03037,137349
750,03038,137349
945,03042,68983
835,03043,12125
750,03044,137349
754,03045,16318
754,03046,16318
835,03047,12125
268,03048,110175
276,03049,87778
759,03051,24480
780,03052,47783
761,03053,23957
762,03054,25477
763,03055,17586
763,03057,17586
765,03060,29357
766,03062,26694
767,03063,16216
768,03064,14227
784,03070,28072
268,03071,110175
771,03076,12897
772,03077,10155
773,03079,28776
784,03082,28072
268,03084,110175
268,03086,110175
777,03087,13592
780,03101,47783
779,03102,31096
780,03103,47783
781,03104,32798
782,03106,13374
783,03109,10314
784,03110,28072
813,03215,10881
802,03216,10923
825,03217,133511
794,03218,16414
811,03220,80703
809,03221,27180
825,03222,133511
825,03223,133511
843,03224,56222
794,03225,16414
825,03226,133511
825,03227,133511
843,03229,56222
825,03230,133511
802,03231,10923
809,03233,27180
750,03234,137349
802,03235,10923
811,03237,80703
825,03238,133511
825,03240,133511
825,03241,133511
843,03242,56222
825,03243,133511
809,03244,27180
825,03245,133511
811,03246,80703
811,03249,80703
813,03251,10881
811,03253,80703
811,03254,80703
809,03255,27180
811,03256,80703
809,03257,27180
750,03258,137349
825,03259,133511
809,03260,27180
750,03261,137349
825,03262,133511
794,03263,16414
825,03264,133511
825,03266,133511
844,03268,16796
811,03269,80703
809,03273,27180
830,03275,11437
811,03276,80703
843,03278,56222
825,03279,133511
809,03280,27180
835,03281,12125
825,03282,133511
825,03284,133511
813,03285,10881
809,03287,27180
750,03290,137349
750,03291,137349
825,03293,133511
843,03301,56222
844,03303,16796
843,03304,56222
750,03307,137349
847,03431,120612
809,03440,27180
859,03441,10247
809,03442,27180
859,03443,10247
